#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
132,ZJ-0295,148,80,48,0,20
138,ZJ-0160,147,95,24,8,20
139,ZJ-0104,146,95,24,12,15
140,ZJ-0385,145,100,20,0,25
141,ZJ-0211,144,95,40,4,5
141,ZJ-0288,144,100,0,24,20
141,ZJ-0520,144,100,20,24,0
144,ZJ-0067,143,95,0,8,40
144,ZJ-0076,143,100,20,8,15
144,ZJ-0186,143,90,24,24,5
144,ZJ-0262,143,95,28,0,20
144,ZJ-0267,143,85,28,0,30
144,ZJ-0339,143,95,24,24,-
150,ZJ-0029,142,85,32,0,25
150,ZJ-0281,142,85,44,8,5
152,ZJ-0065,141,100,28,8,5
152,ZJ-0178,141,100,28,8,5
152,ZJ-0370,141,100,28,8,5
152,ZJ-0431,141,100,24,12,5
156,ZJ-0013,140,100,0,0,40
156,ZJ-0136,140,100,24,16,0
156,ZJ-0401,140,95,40,0,5
159,ZJ-0192,139,95,44,0,0
159,ZJ-0509,139,95,44,-,-
161,ZJ-0041,137,100,24,8,5
161,ZJ-0113,137,100,32,0,5
161,ZJ-0156,137,100,28,4,5
161,ZJ-0205,137,100,32,0,5
161,ZJ-0208,137,100,28,4,5
161,ZJ-0226,137,100,24,8,5
161,ZJ-0333,137,65,20,12,40
161,ZJ-0680,137,100,32,0,5
169,ZJ-0060,136,100,20,16,0
169,ZJ-0146,136,100,28,8,0
169,ZJ-0166,136,100,24,12,0
169,ZJ-0312,136,100,28,8,0
169,ZJ-0499,136,100,28,8,-
174,ZJ-0171,135,95,0,0,40
174,ZJ-0668,135,95,32,8,0
176,ZJ-0133,134,80,32,12,10
176,ZJ-0476,134,80,28,16,10
178,ZJ-0049,133,100,8,0,25
178,ZJ-0082,133,80,24,24,5
178,ZJ-0107,133,100,12,16,5
178,ZJ-0115,133,100,28,0,5
178,ZJ-0151,133,100,28,0,5
178,ZJ-0154,133,100,28,-,5
178,ZJ-0164,133,95,28,0,10
178,ZJ-0209,133,100,28,0,5
178,ZJ-0240,133,100,28,0,5
178,ZJ-0255,133,95,0,8,30
178,ZJ-0284,133,100,4,24,5
178,ZJ-0304,133,100,28,0,5
178,ZJ-0546,133,80,28,0,25
178,ZJ-0696,133,100,28,0,5
192,ZJ-0079,132,100,12,0,20
192,ZJ-0129,132,90,4,8,30
192,ZJ-0174,132,95,24,8,5
192,ZJ-0314,132,100,20,12,0
192,ZJ-0318,132,100,8,24,0
192,ZJ-0402,132,100,24,8,0
192,ZJ-0409,132,100,20,12,0
192,ZJ-0521,132,100,32,-,-
192,ZJ-0689,132,70,28,24,10
201,ZJ-0365,131,95,20,16,0
202,ZJ-0059,130,95,20,0,15
202,ZJ-0435,130,90,32,8,0
204,ZJ-0066,129,100,4,0,25
204,ZJ-0214,129,100,24,0,5
204,ZJ-0249,129,100,24,0,5
204,ZJ-0287,129,85,44,-,-
204,ZJ-0414,129,95,24,0,10
204,ZJ-0510,129,100,24,0,5
210,ZJ-0183,128,85,28,-,15
210,ZJ-0235,128,100,20,8,0
210,ZJ-0272,128,95,28,0,5
210,ZJ-0298,128,100,20,8,0
210,ZJ-0310,128,95,28,0,5
210,ZJ-0311,128,100,28,0,0
210,ZJ-0348,128,100,28,0,-
210,ZJ-0362,128,100,28,0,0
210,ZJ-0407,128,100,28,0,0
210,ZJ-0504,128,100,28,0,0
220,ZJ-0127,127,95,24,8,0
220,ZJ-0185,127,95,24,8,-
220,ZJ-0232,127,100,4,8,15
220,ZJ-0275,127,95,24,8,-
220,ZJ-0434,127,95,20,12,-
225,ZJ-0187,126,100,8,8,10
226,ZJ-0229,125,100,20,0,5
226,ZJ-0424,125,100,20,0,5
226,ZJ-0584,125,100,20,0,5
229,ZJ-0093,124,100,24,0,-
229,ZJ-0153,124,95,8,16,5
229,ZJ-0219,124,100,8,16,0
229,ZJ-0244,124,100,16,8,-
229,ZJ-0279,124,100,24,0,-
229,ZJ-0331,124,75,8,36,5
229,ZJ-0334,124,100,0,24,0
229,ZJ-0388,124,100,24,0,-
229,ZJ-0391,124,100,24,-,-
229,ZJ-0405,124,100,0,24,-
229,ZJ-0421,124,100,-,24,-
229,ZJ-0427,124,100,24,0,0
229,ZJ-0505,124,100,24,0,0
229,ZJ-0558,124,100,-,24,-
229,ZJ-0646,124,100,0,24,0
244,ZJ-0080,123,95,28,0,0
244,ZJ-0177,123,95,28,0,0
244,ZJ-0225,123,95,24,4,-
244,ZJ-0379,123,95,28,0,0
244,ZJ-0519,123,95,28,0,-
244,ZJ-0603,123,95,20,8,-
250,ZJ-0301,122,85,8,24,5
250,ZJ-0441,122,90,32,0,0
250,ZJ-0600,122,90,8,24,0
253,ZJ-0083,121,100,0,16,5
253,ZJ-0172,121,100,8,8,5
253,ZJ-0307,121,100,8,8,5
253,ZJ-0378,121,100,8,8,5
253,ZJ-0413,121,80,28,8,5
253,ZJ-0452,121,100,0,16,5
253,ZJ-0514,121,85,28,8,0
260,ZJ-0109,120,100,20,0,0
260,ZJ-0182,120,100,20,-,-
260,ZJ-0246,120,100,20,0,0
260,ZJ-0266,120,100,8,12,0
260,ZJ-0320,120,100,20,-,-
260,ZJ-0321,120,100,20,0,0
260,ZJ-0342,120,100,20,0,0
260,ZJ-0345,120,100,12,8,0
260,ZJ-0384,120,95,20,0,5
260,ZJ-0386,120,100,20,0,0
260,ZJ-0416,120,100,20,0,0
260,ZJ-0436,120,100,20,0,0
260,ZJ-0491,120,100,20,0,-
260,ZJ-0511,120,100,20,-,0
260,ZJ-0577,120,100,20,0,0
260,ZJ-0581,120,100,20,0,0
260,ZJ-0591,120,100,20,0,0
277,ZJ-0048,119,95,24,0,0
277,ZJ-0353,119,95,24,0,0
277,ZJ-0369,119,95,24,0,0
277,ZJ-0622,119,95,24,0,0
281,ZJ-0122,117,100,12,0,5
281,ZJ-0556,117,100,12,0,5
283,ZJ-0128,116,95,4,12,5
283,ZJ-0227,116,100,8,8,-
283,ZJ-0277,116,100,16,-,-
283,ZJ-0291,116,100,8,8,0
283,ZJ-0351,116,95,0,16,5
283,ZJ-0389,116,100,8,8,0
283,ZJ-0406,116,100,4,12,0
283,ZJ-0425,116,80,20,16,0
283,ZJ-0448,116,100,8,8,-
283,ZJ-0472,116,100,8,8,0
283,ZJ-0487,116,100,0,16,0
283,ZJ-0507,116,100,16,-,-
283,ZJ-0658,116,100,8,8,-
296,ZJ-0078,115,95,20,-,-
296,ZJ-0180,115,95,20,0,-
296,ZJ-0289,115,95,20,0,0
296,ZJ-0315,115,95,20,0,0
296,ZJ-0336,115,90,20,0,5
296,ZJ-0404,115,95,20,0,0
296,ZJ-0459,115,95,20,0,0
296,ZJ-0478,115,90,20,0,5
296,ZJ-0529,115,90,20,-,5
296,ZJ-0640,115,90,20,0,5
306,ZJ-0112,114,80,4,0,30
306,ZJ-0119,114,90,24,0,0
306,ZJ-0130,114,90,0,24,0
306,ZJ-0173,114,85,24,0,5
306,ZJ-0188,114,95,4,0,15
306,ZJ-0197,114,85,20,4,5
306,ZJ-0247,114,90,24,0,0
306,ZJ-0273,114,85,24,0,5
306,ZJ-0371,114,85,24,0,5
306,ZJ-0374,114,90,0,24,0
306,ZJ-0500,114,90,24,0,0
306,ZJ-0705,114,90,24,-,-
318,ZJ-0143,113,100,8,-,5
318,ZJ-0145,113,65,48,0,0
318,ZJ-0162,113,85,28,0,0
318,ZJ-0306,113,100,8,0,5
318,ZJ-0316,113,100,8,0,5
318,ZJ-0343,113,100,8,0,5
318,ZJ-0356,113,100,8,0,5
318,ZJ-0397,113,85,28,0,0
318,ZJ-0415,113,100,8,-,5
318,ZJ-0590,113,85,4,24,0
318,ZJ-0611,113,100,8,0,5
329,ZJ-0074,112,100,8,4,0
329,ZJ-0256,112,100,12,0,-
329,ZJ-0411,112,100,12,-,-
329,ZJ-0442,112,100,4,8,0
329,ZJ-0444,112,80,24,8,0
329,ZJ-0482,112,100,12,0,0
329,ZJ-0541,112,80,24,8,0
329,ZJ-0542,112,100,4,8,0
329,ZJ-0560,112,80,24,8,0
329,ZJ-0561,112,100,12,0,0
329,ZJ-0617,112,100,0,12,0
340,ZJ-0106,111,95,8,8,-
340,ZJ-0132,111,95,0,16,-
340,ZJ-0237,111,95,0,16,0
340,ZJ-0261,111,75,28,8,0
340,ZJ-0309,111,95,8,8,0
340,ZJ-0324,111,95,8,8,0
346,ZJ-0092,110,100,0,0,10
346,ZJ-0120,110,90,20,0,-
346,ZJ-0317,110,85,20,0,5
346,ZJ-0319,110,65,20,0,25
346,ZJ-0361,110,90,20,0,0
346,ZJ-0418,110,90,20,0,-
352,ZJ-0088,109,100,4,0,5
352,ZJ-0099,109,85,24,0,-
352,ZJ-0234,109,100,4,0,5
352,ZJ-0253,109,100,4,0,5
352,ZJ-0376,109,100,4,0,5
352,ZJ-0625,109,100,4,0,5
352,ZJ-0691,109,85,0,24,-
359,ZJ-0098,108,100,0,8,-
359,ZJ-0121,108,100,8,0,0
359,ZJ-0125,108,100,8,-,-
359,ZJ-0140,108,95,8,0,5
359,ZJ-0144,108,95,0,8,5
359,ZJ-0155,108,95,8,0,5
359,ZJ-0159,108,100,8,0,0
359,ZJ-0168,108,100,8,0,0
359,ZJ-0194,108,100,0,8,0
359,ZJ-0195,108,95,8,0,5
359,ZJ-0198,108,95,8,0,5
359,ZJ-0207,108,100,0,8,0
359,ZJ-0220,108,100,8,0,0
359,ZJ-0263,108,100,8,0,-
359,ZJ-0270,108,100,8,0,-
359,ZJ-0305,108,100,0,8,0
359,ZJ-0322,108,100,8,0,0
359,ZJ-0382,108,100,8,0,0
359,ZJ-0383,108,100,8,0,0
359,ZJ-0470,108,100,8,-,-
359,ZJ-0517,108,100,8,0,0
359,ZJ-0523,108,100,8,0,0
359,ZJ-0575,108,100,8,0,0
359,ZJ-0589,108,100,8,0,0
359,ZJ-0684,108,100,8,0,-
384,ZJ-0243,107,95,4,8,-
384,ZJ-0252,107,95,4,8,0
384,ZJ-0352,107,95,4,8,0
384,ZJ-0373,107,90,0,12,5
384,ZJ-0666,107,75,8,24,0
384,ZJ-0688,107,95,0,12,0
390,ZJ-0165,106,90,12,4,-
390,ZJ-0525,106,90,16,0,0
390,ZJ-0526,106,90,8,8,0
390,ZJ-0609,106,90,8,8,0
394,ZJ-0075,105,90,0,-,15
394,ZJ-0167,105,100,0,0,5
394,ZJ-0228,105,100,0,0,5
394,ZJ-0264,105,100,0,0,5
394,ZJ-0380,105,100,-,-,5
394,ZJ-0428,105,100,-,-,5
394,ZJ-0568,105,85,20,0,-
401,ZJ-0170,104,95,4,0,5
401,ZJ-0210,104,100,4,0,0
401,ZJ-0257,104,100,4,-,-
401,ZJ-0286,104,80,24,0,0
401,ZJ-0297,104,100,4,0,0
401,ZJ-0313,104,100,4,0,0
401,ZJ-0326,104,95,4,0,5
401,ZJ-0332,104,100,4,0,0
401,ZJ-0398,104,100,4,-,0
401,ZJ-0490,104,80,24,-,-
401,ZJ-0494,104,100,4,0,-
401,ZJ-0557,104,100,4,0,0
413,ZJ-0108,103,90,8,0,5
413,ZJ-0221,103,80,8,0,15
413,ZJ-0254,103,95,8,0,0
413,ZJ-0323,103,95,8,0,-
413,ZJ-0328,103,90,0,8,5
413,ZJ-0330,103,95,8,0,0
413,ZJ-0381,103,95,8,0,0
413,ZJ-0412,103,90,0,8,5
413,ZJ-0432,103,90,8,0,5
413,ZJ-0465,103,95,8,0,0
413,ZJ-0518,103,95,8,0,0
413,ZJ-0524,103,95,8,-,-
413,ZJ-0540,103,95,8,0,0
413,ZJ-0549,103,90,0,8,5
413,ZJ-0554,103,90,8,0,5
413,ZJ-0565,103,70,20,8,5
413,ZJ-0576,103,95,8,0,-
413,ZJ-0652,103,95,8,0,0
431,ZJ-0169,102,85,0,12,5
431,ZJ-0218,102,65,24,8,5
431,ZJ-0426,102,90,12,0,0
431,ZJ-0506,102,90,12,0,-
431,ZJ-0528,102,90,12,0,-
431,ZJ-0537,102,85,12,-,5
431,ZJ-0545,102,70,8,24,-
431,ZJ-0619,102,90,4,8,0
439,ZJ-0453,101,85,0,16,0
439,ZJ-0551,101,80,8,8,5
441,ZJ-0086,100,100,0,0,0
441,ZJ-0090,100,100,-,-,-
441,ZJ-0116,100,95,0,0,5
441,ZJ-0141,100,100,0,0,0
441,ZJ-0189,100,100,0,-,0
441,ZJ-0202,100,100,0,0,-
441,ZJ-0216,100,100,0,0,0
441,ZJ-0231,100,100,0,0,-
441,ZJ-0238,100,100,0,0,-
441,ZJ-0274,100,100,0,0,0
441,ZJ-0299,100,100,-,-,-
441,ZJ-0300,100,100,0,0,0
441,ZJ-0335,100,100,0,0,-
441,ZJ-0349,100,100,0,0,-
441,ZJ-0350,100,100,0,0,0
441,ZJ-0377,100,100,0,0,0
