#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
153,SH-0370,134,100,24,0,10
154,SH-0151,133,70,28,0,35
154,SH-0312,133,100,20,8,5
154,SH-0356,133,95,28,0,10
154,SH-0401,133,100,20,8,5
154,SH-0455,133,100,28,0,5
154,SH-0504,133,85,48,0,-
160,SH-0082,132,95,16,16,5
160,SH-0139,132,100,32,-,-
160,SH-0189,132,100,8,24,0
160,SH-0217,132,100,32,-,-
160,SH-0238,132,100,32,-,-
160,SH-0407,132,100,24,8,-
160,SH-0461,132,95,24,8,5
167,SH-0026,131,100,8,8,15
167,SH-0047,131,95,28,8,0
167,SH-0303,131,95,24,12,0
167,SH-0308,131,95,28,8,0
171,SH-0051,130,95,20,-,15
171,SH-0147,130,100,20,0,10
173,SH-0137,129,100,4,0,25
173,SH-0418,129,65,48,16,-
175,SH-0085,128,90,28,0,10
175,SH-0149,128,95,28,0,5
175,SH-0201,128,100,20,8,-
175,SH-0210,128,100,28,0,0
175,SH-0342,128,100,28,0,0
175,SH-0344,128,100,20,8,-
175,SH-0375,128,100,28,0,0
175,SH-0378,128,100,28,0,0
175,SH-0388,128,100,28,0,-
175,SH-0391,128,95,20,8,5
175,SH-0399,128,100,28,-,-
175,SH-0505,128,100,28,-,0
187,SH-0097,127,95,32,0,0
187,SH-0223,127,95,8,24,-
187,SH-0293,127,90,32,0,5
187,SH-0334,127,95,8,24,0
187,SH-0430,127,95,32,0,0
192,SH-0199,125,85,40,0,0
192,SH-0398,125,100,12,8,5
192,SH-0404,125,100,20,-,5
192,SH-0472,125,100,20,0,5
196,SH-0038,124,100,24,0,-
196,SH-0132,124,100,24,-,-
196,SH-0174,124,100,24,0,0
196,SH-0187,124,100,8,16,-
196,SH-0193,124,100,24,0,0
196,SH-0208,124,100,24,0,-
196,SH-0224,124,100,0,24,-
196,SH-0359,124,100,-,24,-
196,SH-0413,124,100,-,24,-
196,SH-0414,124,100,24,0,0
196,SH-0422,124,100,-,24,-
207,SH-0039,123,95,28,0,0
207,SH-0211,123,95,28,-,-
207,SH-0229,123,95,28,0,0
207,SH-0285,123,95,28,0,0
207,SH-0392,123,80,20,8,15
207,SH-0403,123,95,28,0,0
207,SH-0492,123,95,28,0,0
214,SH-0479,121,85,20,16,0
215,SH-0052,120,95,20,0,5
215,SH-0059,120,100,20,0,-
215,SH-0066,120,100,20,0,0
215,SH-0074,120,100,20,0,-
215,SH-0171,120,100,20,0,0
215,SH-0299,120,100,20,0,0
215,SH-0420,120,100,20,-,0
215,SH-0435,120,100,20,0,-
215,SH-0439,120,100,20,0,-
215,SH-0448,120,100,20,0,0
215,SH-0471,120,100,20,0,0
215,SH-0509,120,95,20,0,5
227,SH-0083,119,95,24,0,0
227,SH-0227,119,95,24,0,0
227,SH-0247,119,95,24,0,0
227,SH-0354,119,95,24,0,0
227,SH-0467,119,95,0,24,0
232,SH-0048,118,90,4,24,0
233,SH-0284,117,85,32,0,0
234,SH-0159,116,95,16,0,5
234,SH-0314,116,100,8,8,0
234,SH-0320,116,100,8,8,0
234,SH-0396,116,100,8,8,-
234,SH-0432,116,100,4,12,0
234,SH-0446,116,95,8,8,5
234,SH-0521,116,95,16,0,5
241,SH-0029,115,100,0,0,15
241,SH-0165,115,90,20,0,5
241,SH-0180,115,90,20,0,5
241,SH-0384,115,95,20,-,-
245,SH-0163,114,90,24,0,0
245,SH-0221,114,90,24,0,0
245,SH-0324,114,90,24,0,0
245,SH-0454,114,90,24,0,0
249,SH-0101,113,85,28,0,0
249,SH-0105,113,100,0,8,5
249,SH-0243,113,100,8,0,5
249,SH-0513,113,100,8,-,5
253,SH-0122,112,100,12,0,-
253,SH-0152,112,100,12,0,0
253,SH-0158,112,95,12,0,5
253,SH-0173,112,100,4,8,0
253,SH-0178,112,100,12,0,0
253,SH-0226,112,80,24,8,-
253,SH-0234,112,100,12,-,-
253,SH-0387,112,100,12,0,0
253,SH-0474,112,100,4,8,0
253,SH-0516,112,100,12,-,-
263,SH-0524,111,95,0,16,0
264,SH-0087,110,95,-,0,15
264,SH-0150,110,90,20,0,0
264,SH-0280,110,85,20,0,5
264,SH-0283,110,90,12,8,0
268,SH-0093,109,80,24,0,5
268,SH-0099,109,100,4,0,5
268,SH-0445,109,100,4,0,5
268,SH-0497,109,100,4,-,5
272,SH-0060,108,100,8,0,0
272,SH-0075,108,100,8,0,0
272,SH-0106,108,65,12,16,15
272,SH-0121,108,100,8,0,-
272,SH-0153,108,100,8,-,-
272,SH-0162,108,100,0,8,0
272,SH-0195,108,100,8,-,0
272,SH-0218,108,100,0,8,0
272,SH-0231,108,100,8,0,0
272,SH-0251,108,75,28,0,5
272,SH-0311,108,100,8,0,0
272,SH-0329,108,100,8,0,0
272,SH-0337,108,100,0,8,0
272,SH-0400,108,100,8,-,-
272,SH-0405,108,100,8,0,0
272,SH-0408,108,100,0,8,0
272,SH-0421,108,100,8,0,0
272,SH-0447,108,100,8,-,-
272,SH-0484,108,100,0,8,0
272,SH-0502,108,100,8,0,0
292,SH-0042,107,95,12,-,0
292,SH-0062,107,95,12,-,-
292,SH-0185,107,95,12,-,-
292,SH-0270,107,75,32,-,-
292,SH-0406,107,95,12,0,0
292,SH-0483,107,95,12,0,0
298,SH-0429,106,90,16,0,0
299,SH-0111,105,100,0,0,5
299,SH-0119,105,85,20,0,0
299,SH-0155,105,95,0,0,10
299,SH-0219,105,90,0,0,15
299,SH-0416,105,85,20,0,-
304,SH-0022,104,100,4,-,0
304,SH-0094,104,100,4,-,-
304,SH-0154,104,100,4,-,0
304,SH-0161,104,100,4,0,-
304,SH-0197,104,100,0,4,0
304,SH-0206,104,100,4,0,-
304,SH-0212,104,100,4,0,0
304,SH-0241,104,100,4,0,-
304,SH-0256,104,100,4,0,0
304,SH-0272,104,100,4,0,-
304,SH-0288,104,65,24,0,15
304,SH-0301,104,100,4,0,0
304,SH-0316,104,100,4,-,-
304,SH-0397,104,100,4,0,0
304,SH-0411,104,100,4,0,0
304,SH-0453,104,100,4,0,0
304,SH-0473,104,100,4,0,0
304,SH-0522,104,100,4,0,0
304,SH-0531,104,100,4,0,-
304,SH-0533,104,100,4,0,0
324,SH-0148,103,95,0,8,-
324,SH-0160,103,95,8,0,0
324,SH-0239,103,95,8,0,-
324,SH-0267,103,95,8,0,-
324,SH-0476,103,95,8,0,-
324,SH-0488,103,95,8,-,0
330,SH-0244,102,70,32,-,-
330,SH-0327,102,90,12,0,0
330,SH-0331,102,70,32,0,0
330,SH-0451,102,90,12,0,0
330,SH-0477,102,70,24,8,0
335,SH-0095,100,80,20,0,0
335,SH-0103,100,95,0,0,5
335,SH-0120,100,100,0,0,0
335,SH-0126,100,100,0,0,0
335,SH-0134,100,100,0,-,-
335,SH-0138,100,100,0,0,-
335,SH-0203,100,100,0,0,0
335,SH-0207,100,100,0,0,0
335,SH-0213,100,100,0,0,0
335,SH-0236,100,100,0,0,0
335,SH-0237,100,80,20,0,0
335,SH-0242,100,100,0,0,0
