#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,AH-0002,361,100,100,76,85
2,AH-0011,340,100,100,40,100
3,AH-0015,316,100,100,56,60
4,AH-0004,296,100,100,56,40
5,AH-0024,291,95,100,56,40
6,AH-0001,282,100,100,52,30
7,AH-0008,280,100,92,48,40
8,AH-0003,273,100,100,48,25
9,AH-0039,259,95,100,24,40
10,AH-0006,246,100,40,76,30
11,AH-0012,245,100,100,40,5
12,AH-0005,241,100,48,48,45
12,AH-0020,241,100,100,16,25
14,AH-0007,235,95,100,40,0
15,AH-0023,220,100,100,0,20
16,AH-0009,218,100,100,8,10
17,AH-0305,217,100,48,24,45
18,AH-0016,211,100,96,0,15
19,AH-0013,206,100,28,48,30
20,AH-0021,200,100,100,0,0
21,AH-0018,196,100,48,8,40
22,AH-0321,195,100,64,16,15
23,AH-0014,193,100,0,48,45
24,AH-0027,175,100,52,8,15
25,AH-0019,172,100,32,0,40
26,AH-0323,171,95,52,24,-
27,AH-0079,167,100,52,0,15
28,AH-0385,165,100,52,8,5
29,AH-0065,162,95,24,8,35
30,AH-0029,161,100,48,8,5
31,AH-0354,160,100,24,36,-
32,AH-0337,159,95,28,36,-
33,AH-0037,157,100,32,0,25
33,AH-0080,157,100,52,-,5
35,AH-0028,156,100,56,-,-
36,AH-0054,153,100,48,0,5
36,AH-0370,153,95,20,8,30
38,AH-0031,152,100,44,8,0
38,AH-0123,152,95,44,8,5
38,AH-0161,152,100,20,32,-
38,AH-0381,152,100,52,0,0
42,AH-0377,150,100,20,0,30
43,AH-0010,147,100,32,0,15
43,AH-0053,147,100,24,8,15
43,AH-0085,147,95,52,0,0
46,AH-0325,146,85,28,8,25
47,AH-0035,145,100,40,0,5
48,AH-0072,144,100,28,16,-
48,AH-0315,144,100,20,24,0
50,AH-0058,143,100,28,0,15
50,AH-0314,143,100,28,0,15
52,AH-0069,142,90,44,8,-
52,AH-0383,142,90,52,0,0
54,AH-0064,140,100,40,-,0
55,AH-0045,139,100,24,0,15
56,AH-0319,138,95,20,8,15
57,AH-0075,137,100,24,8,5
58,AH-0326,136,100,28,8,0
58,AH-0364,136,100,28,8,0
60,AH-0022,135,100,20,0,15
60,AH-0043,135,95,24,16,0
62,AH-0062,134,100,24,0,10
63,AH-0026,133,100,28,0,5
63,AH-0067,133,100,20,8,5
65,AH-0040,132,95,8,24,5
65,AH-0063,132,100,20,12,0
65,AH-0194,132,100,24,8,0
65,AH-0286,132,100,32,-,0
65,AH-0327,132,100,32,0,0
65,AH-0331,132,100,32,0,-
65,AH-0355,132,100,20,12,-
65,AH-0367,132,100,32,-,-
73,AH-0329,131,95,28,8,-
73,AH-0358,131,95,20,16,-
75,AH-0077,130,90,40,0,0
76,AH-0111,129,100,24,0,5
76,AH-0392,129,100,24,0,5
78,AH-0034,128,100,20,8,0
78,AH-0038,128,100,20,8,0
78,AH-0047,128,100,28,-,0
78,AH-0049,128,100,28,0,0
78,AH-0051,128,95,28,0,5
78,AH-0073,128,100,28,0,0
78,AH-0082,128,100,20,8,-
78,AH-0097,128,95,20,8,5
78,AH-0322,128,100,28,0,0
78,AH-0330,128,100,20,8,0
78,AH-0333,128,100,20,8,-
78,AH-0349,128,100,28,0,-
78,AH-0357,128,100,20,8,-
91,AH-0061,127,95,8,24,-
91,AH-0320,127,95,32,-,-
93,AH-0056,125,100,20,0,5
93,AH-0362,125,85,20,20,-
95,AH-0032,124,95,24,0,5
95,AH-0046,124,100,24,0,0
95,AH-0068,124,100,24,0,-
95,AH-0083,124,100,-,24,-
95,AH-0089,124,100,24,-,-
95,AH-0126,124,95,16,8,5
95,AH-0356,124,100,24,0,0
95,AH-0375,124,100,24,-,0
103,AH-0105,122,90,32,-,0
103,AH-0386,122,90,32,0,-
105,AH-0098,121,85,32,4,-
106,AH-0055,120,95,20,0,5
106,AH-0139,120,100,20,0,-
106,AH-0159,120,100,0,20,-
106,AH-0178,120,100,20,0,-
106,AH-0339,120,100,20,0,0
106,AH-0344,120,100,20,0,0
106,AH-0346,120,100,20,-,-
106,AH-0360,120,100,20,0,0
106,AH-0387,120,100,20,0,0
115,AH-0033,119,100,4,0,15
115,AH-0171,119,95,8,16,0
115,AH-0334,119,75,44,0,-
115,AH-0379,119,95,24,-,0
119,AH-0041,118,90,28,-,-
119,AH-0088,118,90,28,-,-
119,AH-0093,118,90,28,0,-
122,AH-0057,117,100,12,-,5
122,AH-0217,117,100,12,-,5
124,AH-0299,116,100,8,8,0
124,AH-0328,116,100,16,0,0
124,AH-0335,116,100,8,8,0
124,AH-0338,116,100,16,0,0
124,AH-0376,116,100,8,8,-
129,AH-0109,115,95,20,0,0
129,AH-0114,115,95,20,-,0
129,AH-0145,115,95,20,-,-
129,AH-0371,115,95,20,0,-
129,AH-0378,115,95,20,0,-
134,AH-0096,114,90,-,24,-
134,AH-0218,114,90,24,-,-
134,AH-0368,114,90,24,0,0
137,AH-0025,113,100,0,8,5
137,AH-0066,113,100,0,8,5
137,AH-0156,113,100,8,0,5
140,AH-0081,112,100,12,0,0
140,AH-0101,112,95,12,0,5
140,AH-0165,112,100,12,0,0
140,AH-0180,112,100,12,0,0
144,AH-0317,111,90,0,16,5
144,AH-0341,111,95,8,8,0
144,AH-0361,111,90,8,8,5
144,AH-0382,111,90,16,0,5
148,AH-0048,110,100,0,0,10
148,AH-0074,110,85,20,0,5
148,AH-0136,110,90,20,-,-
148,AH-0140,110,90,20,-,-
148,AH-0393,110,85,12,8,5
148,AH-0404,110,90,20,0,0
154,AH-0094,109,85,24,0,-
154,AH-0164,109,85,24,-,-
156,AH-0036,108,100,0,8,-
156,AH-0091,108,100,8,0,0
156,AH-0133,108,100,-,8,-
156,AH-0177,108,100,8,0,0
156,AH-0209,108,100,8,-,-
156,AH-0316,108,100,0,8,0
156,AH-0324,108,100,8,-,-
156,AH-0350,108,100,0,8,0
156,AH-0352,108,100,0,8,-
165,AH-0104,106,90,0,16,0
166,AH-0153,105,80,20,0,5
166,AH-0340,105,70,20,-,15
168,AH-0071,104,100,4,0,-
168,AH-0203,104,100,4,0,0
168,AH-0342,104,100,4,-,-
168,AH-0397,104,100,4,0,0
172,AH-0052,103,75,20,8,0
172,AH-0060,103,95,-,8,0
172,AH-0070,103,95,8,-,-
172,AH-0110,103,75,28,0,0
172,AH-0113,103,95,8,0,0
177,AH-0017,100,100,0,0,-
177,AH-0087,100,100,0,0,-
177,AH-0099,100,100,0,0,0
177,AH-0103,100,100,0,0,0
177,AH-0112,100,100,-,-,-
177,AH-0121,100,100,-,-,-
177,AH-0130,100,100,0,0,0
177,AH-0131,100,100,0,-,-
177,AH-0155,100,100,0,0,-
177,AH-0166,100,100,0,0,0
177,AH-0172,100,100,0,0,0
177,AH-0173,100,100,0,0,-
177,AH-0176,100,100,0,-,-
177,AH-0185,100,100,0,-,-
177,AH-0195,100,100,0,0,0
177,AH-0204,100,80,20,0,0
177,AH-0229,100,80,20,0,0
177,AH-0240,100,80,20,0,0
177,AH-0254,100,100,0,0,0
177,AH-0261,100,100,0,0,0
177,AH-0296,100,100,0,0,-
177,AH-0306,100,100,0,0,0
177,AH-0313,100,100,0,0,0
177,AH-0336,100,100,0,0,-
177,AH-0359,100,100,0,-,-
177,AH-0363,100,100,0,0,0
177,AH-0373,100,100,0,0,0
204,AH-0158,99,95,4,0,0
204,AH-0175,99,95,4,-,-
204,AH-0179,99,95,4,0,-
204,AH-0221,99,90,4,0,5
204,AH-0269,99,75,24,0,-
209,AH-0124,98,85,8,0,5
209,AH-0266,98,90,8,-,0
209,AH-0406,98,90,8,0,0
212,AH-0152,96,75,8,8,5
213,AH-0044,95,95,0,0,0
213,AH-0092,95,90,0,-,5
213,AH-0115,95,95,0,0,-
213,AH-0134,95,95,0,-,-
213,AH-0143,95,95,0,-,-
213,AH-0181,95,90,-,-,5
213,AH-0190,95,95,0,-,-
213,AH-0265,95,75,20,0,-
213,AH-0365,95,95,0,0,0
213,AH-0372,95,95,0,0,0
213,AH-0394,95,95,0,0,-
224,AH-0100,94,90,4,0,-
224,AH-0160,94,90,4,0,-
224,AH-0295,94,90,4,0,0
224,AH-0390,94,70,16,8,0
228,AH-0283,93,85,8,0,-
228,AH-0399,93,85,8,0,0
230,AH-0332,92,80,12,0,-
230,AH-0351,92,80,12,0,-
232,AH-0151,91,70,16,0,5
233,AH-0078,90,90,0,-,-
233,AH-0144,90,90,0,-,0
233,AH-0147,90,85,0,-,5
233,AH-0162,90,90,0,0,-
233,AH-0168,90,90,0,-,0
233,AH-0184,90,90,0,0,0
233,AH-0186,90,90,0,0,0
233,AH-0211,90,90,-,-,-
233,AH-0213,90,90,0,-,-
233,AH-0214,90,90,0,0,0
233,AH-0216,90,90,0,0,0
233,AH-0222,90,90,0,0,0
233,AH-0233,90,90,-,-,-
233,AH-0245,90,90,0,0,0
233,AH-0247,90,90,0,0,0
233,AH-0248,90,90,0,0,0
233,AH-0259,90,90,0,0,0
233,AH-0260,90,90,0,-,-
233,AH-0263,90,90,0,0,-
233,AH-0293,90,90,-,-,-
253,AH-0129,89,85,4,-,-
254,AH-0059,88,80,8,-,0
254,AH-0095,88,80,0,8,0
256,AH-0042,85,85,0,-,-
256,AH-0106,85,85,0,-,-
256,AH-0116,85,85,0,0,-
256,AH-0125,85,85,0,0,-
256,AH-0132,85,85,0,-,-
256,AH-0182,85,65,20,-,0
256,AH-0191,85,65,20,-,-
256,AH-0192,85,80,0,0,5
256,AH-0228,85,85,0,0,0
256,AH-0244,85,85,0,0,-
256,AH-0277,85,85,0,-,-
256,AH-0345,85,60,20,0,5
256,AH-0374,85,60,20,0,5
269,AH-0108,84,80,4,-,-
269,AH-0137,84,60,0,24,0
269,AH-0149,84,80,4,0,-
269,AH-0187,84,80,4,-,0
269,AH-0206,84,80,4,0,0
274,AH-0076,83,75,8,-,0
274,AH-0169,83,75,8,0,0
274,AH-0200,83,75,8,0,0
274,AH-0348,83,55,20,8,-
278,AH-0395,81,65,16,0,-
279,AH-0118,80,80,-,0,-
279,AH-0135,80,80,0,-,-
279,AH-0150,80,80,0,0,0
279,AH-0193,80,80,0,0,-
279,AH-0196,80,80,0,0,-
279,AH-0220,80,80,-,0,-
279,AH-0238,80,80,0,0,0
279,AH-0258,80,80,-,-,-
279,AH-0298,80,80,0,0,0
279,AH-0396,80,80,0,0,0
279,AH-0401,80,75,0,0,5
279,AH-0407,80,60,20,0,0
291,AH-0050,79,55,24,0,-
291,AH-0242,79,75,4,0,-
291,AH-0300,79,75,4,0,0
291,AH-0318,79,55,24,-,-
295,AH-0148,78,70,8,0,-
295,AH-0170,78,70,8,-,-
295,AH-0235,78,70,8,0,-
295,AH-0353,78,70,8,-,-
295,AH-0366,78,70,8,0,-
300,AH-0236,77,65,12,-,-
301,AH-0380,76,40,24,12,0
302,AH-0084,75,75,0,-,-
302,AH-0120,75,75,0,0,-
302,AH-0127,75,75,-,-,-
302,AH-0212,75,75,-,0,-
302,AH-0271,75,75,0,0,0
302,AH-0272,75,75,-,-,-
308,AH-0226,74,70,4,0,0
309,AH-0119,70,70,0,0,-
309,AH-0197,70,70,0,0,-
309,AH-0210,70,70,0,0,-
309,AH-0231,70,70,0,0,0
309,AH-0234,70,70,0,0,-
309,AH-0241,70,70,0,-,0
309,AH-0253,70,70,-,-,-
309,AH-0255,70,70,0,-,-
309,AH-0264,70,70,0,0,0
309,AH-0290,70,70,-,-,-
309,AH-0292,70,70,-,-,-
309,AH-0310,70,70,0,-,-
309,AH-0388,70,70,0,0,0
309,AH-0398,70,70,0,0,-
323,AH-0107,69,65,4,0,0
323,AH-0208,69,65,4,0,0
325,AH-0142,66,50,8,8,0
326,AH-0154,65,65,0,0,0
326,AH-0198,65,65,0,0,0
326,AH-0199,65,65,0,0,0
326,AH-0202,65,65,-,0,-
326,AH-0215,65,65,-,-,-
326,AH-0224,65,65,0,0,0
326,AH-0250,65,65,0,-,-
326,AH-0267,65,65,0,-,-
326,AH-0274,65,65,0,0,0
326,AH-0275,65,65,0,-,-
326,AH-0287,65,65,0,-,-
326,AH-0288,65,65,0,-,-
326,AH-0294,65,65,0,0,0
326,AH-0297,65,65,0,-,0
326,AH-0304,65,65,-,-,-
326,AH-0311,65,65,0,-,-
342,AH-0188,60,60,0,0,0
342,AH-0219,60,60,0,-,-
342,AH-0227,60,60,0,-,-
342,AH-0256,60,60,0,0,0
342,AH-0280,60,60,0,0,-
347,AH-0207,58,50,8,0,-
348,AH-0117,55,55,0,0,-
348,AH-0128,55,55,-,-,-
348,AH-0141,55,55,0,0,0
348,AH-0157,55,55,0,0,-
348,AH-0183,55,55,0,0,0
348,AH-0262,55,55,0,0,0
348,AH-0273,55,55,-,-,-
355,AH-0225,54,50,4,0,0
356,AH-0243,50,30,12,8,0
357,AH-0167,45,45,0,-,-
357,AH-0246,45,45,-,-,-
357,AH-0282,45,45,0,0,0
357,AH-0289,45,45,0,0,-
361,AH-0205,40,40,0,0,0
361,AH-0232,40,40,0,-,-
361,AH-0301,40,40,0,-,-
364,AH-0384,35,35,0,0,0
365,AH-0030,30,30,0,-,-
365,AH-0237,30,30,0,-,0
365,AH-0281,30,30,0,-,0
368,AH-0122,25,25,0,0,-
368,AH-0146,25,25,0,0,0
368,AH-0251,25,25,0,0,0
368,AH-0257,25,25,0,-,-
372,AH-0086,24,0,8,16,0
373,AH-0249,20,20,0,0,0
374,AH-0279,18,10,8,0,0
375,AH-0138,15,15,0,0,-
375,AH-0239,15,15,0,-,-
375,AH-0278,15,15,0,-,-
378,AH-0307,10,10,0,0,0
379,AH-0308,5,5,0,-,0
380,AH-0223,4,0,4,0,0
381,AH-0102,0,0,0,-,-
381,AH-0163,0,0,-,-,-
381,AH-0189,0,0,0,0,0
381,AH-0230,0,0,0,-,-
381,AH-0252,0,0,0,0,0
381,AH-0284,0,0,0,0,0
381,AH-0285,0,0,0,0,0
381,AH-0291,0,0,0,0,0
381,AH-0303,0,0,0,0,0
