#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
283,CQ-0146,108,100,8,0,-
283,CQ-0157,108,100,8,-,-
283,CQ-0161,108,95,0,8,5
283,CQ-0165,108,100,0,8,-
283,CQ-0191,108,100,8,0,0
283,CQ-0200,108,100,0,8,0
283,CQ-0264,108,100,8,0,0
283,CQ-0283,108,100,0,8,0
283,CQ-0300,108,85,0,8,15
283,CQ-0314,108,100,-,8,0
283,CQ-0339,108,100,0,8,0
283,CQ-0348,108,80,28,0,0
283,CQ-0357,108,100,8,0,-
283,CQ-0364,108,100,8,0,-
298,CQ-0125,107,95,12,-,-
298,CQ-0193,107,90,4,8,5
298,CQ-0255,107,85,12,0,10
301,CQ-0257,105,100,0,0,5
301,CQ-0259,105,100,0,0,5
301,CQ-0347,105,100,0,-,5
301,CQ-0370,105,100,0,0,5
301,CQ-0388,105,80,20,0,5
306,CQ-0068,104,95,4,0,5
306,CQ-0076,104,100,4,0,0
306,CQ-0087,104,100,4,0,-
306,CQ-0168,104,80,24,0,0
306,CQ-0190,104,100,4,0,0
306,CQ-0192,104,75,24,0,5
306,CQ-0335,104,100,0,4,-
306,CQ-0392,104,100,4,0,-
306,CQ-0395,104,100,4,0,0
306,CQ-0397,104,95,4,0,5
316,CQ-0056,103,80,0,8,15
316,CQ-0308,103,95,8,0,0
316,CQ-0312,103,95,8,-,-
316,CQ-0359,103,95,0,8,0
320,CQ-0371,101,85,0,16,-
321,CQ-0029,100,100,0,0,0
321,CQ-0097,100,100,0,0,-
321,CQ-0158,100,100,0,0,0
321,CQ-0186,100,100,0,0,0
321,CQ-0277,100,95,0,0,5
321,CQ-0302,100,95,0,0,5
321,CQ-0311,100,100,0,-,0
321,CQ-0323,100,100,0,0,0
321,CQ-0343,100,80,20,0,0
321,CQ-0366,100,100,0,0,-
321,CQ-0374,100,100,0,0,0
321,CQ-0387,100,100,0,0,0
321,CQ-0389,100,100,0,0,0
321,CQ-0400,100,100,-,-,-
321,CQ-0413,100,100,0,0,0
336,CQ-0115,99,95,4,-,0
336,CQ-0150,99,95,4,0,0
336,CQ-0317,99,95,4,0,0
339,CQ-0140,98,90,0,8,0
339,CQ-0409,98,90,8,-,-
341,CQ-0184,97,85,12,0,0
342,CQ-0096,95,95,0,-,-
342,CQ-0266,95,95,0,0,0
342,CQ-0310,95,95,0,0,-
342,CQ-0336,95,90,0,0,5
342,CQ-0346,95,95,0,0,0
342,CQ-0351,95,75,20,0,-
342,CQ-0381,95,90,0,0,5
342,CQ-0384,95,95,0,0,0
350,CQ-0254,94,45,44,-,5
350,CQ-0307,94,90,4,0,0
350,CQ-0378,94,90,4,0,0
353,CQ-0080,93,85,0,8,0
354,CQ-0209,91,75,16,0,-
354,CQ-0403,91,75,8,8,0
356,CQ-0092,90,90,0,-,-
356,CQ-0362,90,90,0,-,0
358,CQ-0137,89,60,24,0,5
358,CQ-0167,89,85,4,0,0
358,CQ-0194,89,85,4,0,0
361,CQ-0354,88,80,0,8,0
362,CQ-0189,85,65,20,0,0
362,CQ-0197,85,85,0,-,-
362,CQ-0316,85,85,0,-,-
362,CQ-0326,85,85,0,-,-
362,CQ-0342,85,85,0,0,0
362,CQ-0353,85,85,0,0,-
362,CQ-0391,85,85,0,0,0
362,CQ-0412,85,85,0,0,0
370,CQ-0411,83,75,-,8,-
371,CQ-0350,81,65,-,16,0
372,CQ-0170,80,60,20,0,0
372,CQ-0208,80,80,0,0,0
372,CQ-0401,80,80,0,0,0
372,CQ-0405,80,75,0,0,5
376,CQ-0204,78,70,8,0,0
377,CQ-0217,77,65,0,12,-
378,CQ-0172,75,75,0,0,-
378,CQ-0173,75,75,0,0,-
378,CQ-0201,75,75,0,-,-
378,CQ-0203,75,75,0,0,0
382,CQ-0177,70,70,0,0,0
382,CQ-0179,70,50,4,16,-
382,CQ-0196,70,70,0,0,0
382,CQ-0218,70,70,0,0,0
382,CQ-0379,70,70,0,0,0
387,CQ-0198,65,65,0,0,0
387,CQ-0199,65,65,0,-,-
387,CQ-0380,65,65,0,0,0
390,CQ-0214,52,40,4,8,-
391,CQ-0210,50,50,0,0,0
391,CQ-0361,50,50,0,0,0
393,CQ-0407,32,20,12,0,0
394,CQ-0207,30,30,0,0,0
394,CQ-0369,30,25,-,-,5
396,CQ-0215,10,10,0,0,0
397,CQ-0219,5,5,0,0,0
398,CQ-0159,0,0,0,0,0
398,CQ-0188,0,0,-,-,-
398,CQ-0205,0,0,0,0,0
398,CQ-0211,0,0,0,0,-
398,CQ-0212,0,0,0,0,0
398,CQ-0213,0,0,0,0,0
398,CQ-0216,0,0,0,-,-
398,CQ-0297,0,0,0,0,0
398,CQ-0385,0,0,0,0,-
