#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
163,BJ-0516,137,80,28,24,5
167,BJ-0068,136,100,28,8,0
167,BJ-0125,136,100,20,16,-
167,BJ-0201,136,90,20,16,10
167,BJ-0210,136,100,4,32,-
167,BJ-0242,136,100,36,-,-
167,BJ-0276,136,80,32,24,-
167,BJ-0332,136,100,20,16,-
167,BJ-0398,136,100,28,8,-
167,BJ-0408,136,100,24,12,-
167,BJ-0442,136,100,36,-,0
167,BJ-0543,136,100,28,8,-
167,BJ-0577,136,100,28,8,0
167,BJ-0585,136,95,28,8,5
167,BJ-0647,136,100,28,8,0
167,BJ-0662,136,100,28,8,-
167,BJ-0680,136,95,0,16,25
183,BJ-0160,135,95,32,8,0
183,BJ-0445,135,100,20,-,15
183,BJ-0501,135,100,20,0,15
186,BJ-0072,134,95,24,0,15
186,BJ-0500,134,90,44,-,-
186,BJ-0671,134,90,44,0,-
189,BJ-0045,133,95,28,0,10
189,BJ-0155,133,95,8,0,30
189,BJ-0446,133,100,0,8,25
189,BJ-0482,133,100,28,0,5
189,BJ-0524,133,100,28,0,5
189,BJ-0641,133,100,28,0,5
189,BJ-0650,133,100,28,0,5
196,BJ-0075,132,100,24,8,0
196,BJ-0133,132,95,24,8,5
196,BJ-0140,132,100,32,0,-
196,BJ-0142,132,100,20,12,-
196,BJ-0192,132,100,24,8,0
196,BJ-0223,132,100,24,8,-
196,BJ-0288,132,100,8,24,0
196,BJ-0484,132,100,32,0,-
196,BJ-0565,132,100,32,0,-
196,BJ-0602,132,60,24,48,-
206,BJ-0128,131,95,28,8,0
207,BJ-0009,130,85,-,-,45
207,BJ-0119,130,0,100,0,30
209,BJ-0312,129,100,24,-,5
209,BJ-0491,129,100,0,24,5
209,BJ-0530,129,100,0,24,5
209,BJ-0563,129,100,24,0,5
209,BJ-0639,129,100,24,0,5
209,BJ-0652,129,100,16,8,5
215,BJ-0085,128,100,20,8,-
215,BJ-0149,128,100,28,-,-
215,BJ-0163,128,100,28,0,-
215,BJ-0177,128,100,28,0,0
215,BJ-0239,128,100,28,-,-
215,BJ-0325,128,60,68,0,-
215,BJ-0333,128,100,20,8,0
215,BJ-0439,128,100,28,0,0
215,BJ-0535,128,100,28,-,-
215,BJ-0541,128,100,28,0,0
215,BJ-0586,128,100,28,-,-
215,BJ-0660,128,100,20,8,0
227,BJ-0113,127,95,12,0,20
227,BJ-0164,127,95,24,8,-
227,BJ-0253,127,100,4,8,15
227,BJ-0474,127,65,32,0,30
227,BJ-0480,127,100,12,0,15
227,BJ-0644,127,95,32,0,0
233,BJ-0494,126,95,4,12,15
233,BJ-0554,126,75,28,8,15
235,BJ-0112,125,100,20,0,5
235,BJ-0116,125,100,12,8,5
235,BJ-0206,125,100,0,20,5
235,BJ-0367,125,100,20,0,5
235,BJ-0507,125,100,8,12,5
235,BJ-0668,125,85,32,8,-
241,BJ-0115,124,100,24,0,0
241,BJ-0126,124,80,44,0,-
241,BJ-0143,124,100,24,0,0
241,BJ-0202,124,100,24,-,-
241,BJ-0246,124,100,16,8,0
241,BJ-0284,124,100,24,0,-
241,BJ-0296,124,95,24,-,5
241,BJ-0298,124,100,4,-,20
241,BJ-0377,124,100,24,-,-
241,BJ-0416,124,100,24,0,-
241,BJ-0444,124,100,24,0,0
241,BJ-0455,124,100,24,0,-
241,BJ-0486,124,80,24,-,20
